portfolio,model,var5,var1,cvar5,probability_drawdown_10pct
random_dirichlet_08,gaussian_cov_train,-0.13754497046134642,-0.17030916326420725,-0.15898967068204523,0.38461538461538464
random_dirichlet_08,t_copula_train,-0.16513582488434064,-0.21230784968427693,-0.19815322350780587,0.5256410256410257
random_dirichlet_08,filtered_historical_simulation_train,-0.16643434293501133,-0.1973245090716599,-0.19041099317265148,0.41025641025641024
random_dirichlet_08,gaussian_factor_same_calibration_stack,-0.17322462046508408,-0.22165859383598838,-0.21179211750102309,0.3717948717948718
random_dirichlet_08,factor_ddpm_stress_uncalibrated,-0.24671088833440344,-0.3528792664309709,-0.32386076942828657,0.6923076923076923
random_dirichlet_08,factor_ddpm_base_uncalibrated,-0.200371613740417,-0.2287196944210716,-0.22178435779632244,0.6025641025641025
random_dirichlet_09,factor_ddpm_stress,-0.26947189774667013,-0.3664727954050842,-0.3574866468318213,0.717948717948718
random_dirichlet_09,factor_ddpm_base,-0.22461456278428565,-0.24595170094174865,-0.24093862976871352,0.6410256410256411
random_dirichlet_09,historical_bootstrap_train,-0.12569848120324698,-0.1658722045008513,-0.16032611787206913,0.38461538461538464
random_dirichlet_09,gaussian_cov_train,-0.14015372728497583,-0.17867273030429912,-0.1643232243118478,0.38461538461538464
random_dirichlet_09,t_copula_train,-0.16493630082512561,-0.2100365626983795,-0.19655333352447582,0.5384615384615384
random_dirichlet_09,filtered_historical_simulation_train,-0.16396552420313,-0.19250122261453864,-0.18851842328964974,0.4230769230769231
random_dirichlet_09,gaussian_factor_same_calibration_stack,-0.16926418533319715,-0.22542599037152952,-0.20810731304689126,0.34615384615384615
random_dirichlet_09,factor_ddpm_stress_uncalibrated,-0.23364895832745156,-0.33517059204155686,-0.315686760139936,0.6282051282051282
random_dirichlet_09,factor_ddpm_base_uncalibrated,-0.19552998007659733,-0.21596214329200017,-0.2110741613462173,0.5128205128205128
random_dirichlet_10,factor_ddpm_stress,-0.30742567665098436,-0.4115941332283717,-0.38702559712028295,0.7692307692307693
random_dirichlet_10,factor_ddpm_base,-0.24968598977501397,-0.271922718344527,-0.2645622032303311,0.6666666666666666
random_dirichlet_10,historical_bootstrap_train,-0.12308462933912971,-0.17256995723643562,-0.16613039105492525,0.4230769230769231
random_dirichlet_10,gaussian_cov_train,-0.13963002446051617,-0.17840484034890758,-0.16400018993886115,0.4358974358974359
random_dirichlet_10,t_copula_train,-0.17127596362703548,-0.21734469326874295,-0.20180462898310375,0.5641025641025641
random_dirichlet_10,filtered_historical_simulation_train,-0.16739601518045247,-0.19652222610295536,-0.1932802954890488,0.4230769230769231
random_dirichlet_10,gaussian_factor_same_calibration_stack,-0.17188844228684205,-0.22774724287017967,-0.20994796340769967,0.3717948717948718
random_dirichlet_10,factor_ddpm_stress_uncalibrated,-0.2844705129544532,-0.37190754317588937,-0.35640014570902245,0.7307692307692307
random_dirichlet_10,factor_ddpm_base_uncalibrated,-0.22568970009265057,-0.24567007615268646,-0.23989101906089202,0.6282051282051282
random_dirichlet_11,factor_ddpm_stress,-0.2631973172105694,-0.3684326577539989,-0.3525641062693524,0.7307692307692307
random_dirichlet_11,factor_ddpm_base,-0.21756005081353705,-0.2362859692545714,-0.23267363494783433,0.6410256410256411
random_dirichlet_11,historical_bootstrap_train,-0.12041102020014789,-0.1636859768516582,-0.15687022829472616,0.4230769230769231
random_dirichlet_11,gaussian_cov_train,-0.14261911232134122,-0.17418694530037598,-0.16222780218229968,0.3717948717948718
